chimei	davis_family	genus	lat	lon	Geological period	fossil_type	id	Age.min	Age.max	URL	Source
	Betulaceae	Alnus	30.3	130.5	Pleistocene	pollen	PANGAEA.785670			https://doi.pangaea.de/10.1594/PANGAEA.785670;https://doi.org/10.1594/PANGAEA.785670	PANGAEA.785670
	Betulaceae	Carpinus	30.3	130.5	Pleistocene	pollen	PANGAEA.785670			https://doi.pangaea.de/10.1594/PANGAEA.785670;https://doi.org/10.1594/PANGAEA.785670	PANGAEA.785670
	Fagaceae	Castanopsis	30.3	130.5	Pleistocene	pollen	PANGAEA.785670			https://doi.pangaea.de/10.1594/PANGAEA.785670;https://doi.org/10.1594/PANGAEA.785670	PANGAEA.785670
	Fagaceae	Quercus	30.3	130.5	Pleistocene	pollen	PANGAEA.785670			https://doi.pangaea.de/10.1594/PANGAEA.785670;https://doi.org/10.1594/PANGAEA.785670	PANGAEA.785670
	Ericaceae	Rhododendron	30.3	130.5	Pleistocene	pollen	PANGAEA.785670			https://doi.pangaea.de/10.1594/PANGAEA.785670;https://doi.org/10.1594/PANGAEA.785670	PANGAEA.785670
	Salicaceae	Salix	30.3	130.5	Pleistocene	pollen	PANGAEA.785670			https://doi.pangaea.de/10.1594/PANGAEA.785670;https://doi.org/10.1594/PANGAEA.785670	PANGAEA.785670
	Fagaceae	Quercus	31.5	130.33	Pleistocene	pollen	PANGAEA.785670			https://doi.pangaea.de/10.1594/PANGAEA.785670;https://doi.org/10.1594/PANGAEA.785670	PANGAEA.785670
	Adoxaceae	Viburnum	31.5	130.33	Pleistocene	pollen	PANGAEA.785670			https://doi.pangaea.de/10.1594/PANGAEA.785670;https://doi.org/10.1594/PANGAEA.785670	PANGAEA.785670
	Anacardiaceae	Rhus	31.8	130.45	Pleistocene	pollen	PANGAEA.785670			https://doi.pangaea.de/10.1594/PANGAEA.785670;https://doi.org/10.1594/PANGAEA.785670	PANGAEA.785670
	Ulmaceae	Ulmus	31.8	130.45	Pleistocene	pollen	PANGAEA.785670			https://doi.pangaea.de/10.1594/PANGAEA.785670;https://doi.org/10.1594/PANGAEA.785670	PANGAEA.785670
	Theaceae	Camellia	31.85	130.95	Pleistocene	pollen	PANGAEA.785670			https://doi.pangaea.de/10.1594/PANGAEA.785670;https://doi.org/10.1594/PANGAEA.785670	PANGAEA.785670
	Juglandaceae	Juglans	31.85	130.95	Pleistocene	pollen	PANGAEA.785670			https://doi.pangaea.de/10.1594/PANGAEA.785670;https://doi.org/10.1594/PANGAEA.785670	PANGAEA.785670
	Sapindaceae	Acer	31.9	130.85	Pleistocene	pollen	PANGAEA.785670			https://doi.pangaea.de/10.1594/PANGAEA.785670;https://doi.org/10.1594/PANGAEA.785670	PANGAEA.785670
	Fagaceae	Fagus	31.9	130.85	Pleistocene	pollen	PANGAEA.785670			https://doi.pangaea.de/10.1594/PANGAEA.785670;https://doi.org/10.1594/PANGAEA.785670	PANGAEA.785670
	Symplocaceae	Symplocos	31.9	130.85	Pleistocene	pollen	PANGAEA.785670			https://doi.pangaea.de/10.1594/PANGAEA.785670;https://doi.org/10.1594/PANGAEA.785670	PANGAEA.785670
	Aquifoliaceae	Ilex	31.93	130.85	Pleistocene	pollen	PANGAEA.785670			https://doi.pangaea.de/10.1594/PANGAEA.785670;https://doi.org/10.1594/PANGAEA.785670	PANGAEA.785670
	Betulaceae	Betula	31.95	130.82	Pleistocene	pollen	PANGAEA.785670			https://doi.pangaea.de/10.1594/PANGAEA.785670;https://doi.org/10.1594/PANGAEA.785670	PANGAEA.785670
	Betulaceae	Corylus	31.95	130.83	Pleistocene	pollen	PANGAEA.785670			https://doi.pangaea.de/10.1594/PANGAEA.785670;https://doi.org/10.1594/PANGAEA.785670	PANGAEA.785670
	Myricaceae	Myrica	32.58	130.5	Pleistocene	pollen	PANGAEA.785670			https://doi.pangaea.de/10.1594/PANGAEA.785670;https://doi.org/10.1594/PANGAEA.785670	PANGAEA.785670
高知市丸池町	Fagaceae	Fagus	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Fagaceae	Quercus	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Fagaceae	Cyclobalanopsis	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Fagaceae	Castanopsis	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Fagaceae	Castanea	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Proteaceae	Helicia	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Betulaceae	Alnus	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Apocynaceae	Anodendron	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Betulaceae	Betula	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Betulaceae	Carpinus	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Ulmaceae	Ulmus	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Ulmaceae	Zelkova	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Cannabaceae	Celtis	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Oleaceae	Fraxinus	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Euphorbiaceae	Mallotus	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Myricaceae	Myrica	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Symplocaceae	Symplocos	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Betulaceae	Corylus	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Aquifoliaceae	Ilex	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Compositae	Artemisia	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Juglandaceae	Pterocarya	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Malvaceae	Tilia	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Sapindaceae	Acer	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Sapindaceae	Aesculus	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Salicaceae	Salix	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Adoxaceae	Viburnum	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
高知市丸池町	Lythraceae	Lagerstroemia	33.55	133.5583333	Holocene	pollen	Fo001				Yamanaka, 1984
